team,,bleu,meteor,ter
tilb-pipeline,3size,33.91,0.3074305119873645,0.5599913797747964
tilb-pipeline,4size,34.05,0.2976199999810974,0.5781203676252594
tilb-pipeline,5size,33.03,0.2966922562132226,0.629879699763512
tilb-pipeline,6size,39.83,0.3583360466457675,0.5711278195488723
tilb-pipeline,7size,40.68,0.3872533962994496,0.6041767848470131
tilb-nmt,all-cat,34.6,0.34878422145634347,0.6095014527332543
tilb-nmt,old-cat,43.28,0.3826239970659331,0.5145683504363399
tilb-nmt,new-cat,25.12,0.3105751414577889,0.7216276785939107
tilb-nmt,1size,50.33,0.44776476460812237,0.4299962299071187
tilb-nmt,2size,37.13,0.3842202129373684,0.5844198712658857
tilb-nmt,3size,31.85,0.34534069695978115,0.6465168902537576
tilb-nmt,4size,32.92,0.330701625566543,0.6229469315149719
tilb-nmt,5size,28.64,0.3061369172693791,0.6659697707098053
tilb-nmt,6size,39.88,0.3469417778404724,0.5855639097744362
tilb-nmt,7size,34.26,0.33862652551302524,0.6168042739193783
baseline,all-cat,33.24,0.23543595051539076,0.6130803717457806
baseline,old-cat,52.39,0.3777203807455693,0.44864834134000403
baseline,new-cat,6.13,0.07535281945013225,0.8072923224133149
baseline,1size,42.36,0.27738767131048075,0.4910717345854613
baseline,2size,33.83,0.24135895873732657,0.5755075094900152
baseline,3size,30.46,0.22231158973471055,0.6397284629060932
baseline,4size,31.11,0.2216274463007048,0.6533649570115625
baseline,5size,28.88,0.21037011464486483,0.6690543921582065
baseline,6size,53.25,0.3685568055623714,0.42676691729323313
baseline,7size,53.81,0.378775867221362,0.4021369596891695
adapt,all-cat,31.06,0.315979589643074,0.8492659367724297
adapt,old-cat,60.59,0.4453891492995515,0.3787628983200205
adapt,new-cat,10.53,0.19233349243861037,1.4049807367864418
adapt,1size,48.13,0.37811943471114734,0.4429516399904035
adapt,2size,33.77,0.3263720483248866,0.7273477471529959
adapt,3size,27.78,0.3064616253795806,0.9358331986423142
adapt,4size,27.56,0.2969472635387307,0.9822709753928255
adapt,5size,26.35,0.29082505194304104,0.9969496521232473
adapt,6size,62.03,0.4322082084807028,0.37082706766917295
adapt,7size,62.96,0.43542716715861496,0.3729966002914036
uit-vnu,all-cat,7.07,0.09920650308713085,0.8274922552962218
uit-vnu,old-cat,19.87,0.15349885257074847,0.7850706387333353
uit-vnu,new-cat,0.11,0.033486421421953336,0.8775967567295337
uit-vnu,1size,44.65,0.3284690038824138,0.6251499468759641
uit-vnu,2size,16.52,0.1566366168323407,0.7641525004126097
uit-vnu,3size,5.69,0.09194828123945273,0.8315284736813746
uit-vnu,4size,0.31,0.042365898298726404,0.8665579602727543
uit-vnu,5size,0.01,0.02112833714251146,0.8966994550502103
uit-vnu,6size,0.0,0.0,0.9293233082706768
uit-vnu,7size,0.0,0.0,0.9295774647887324
